,Category,Group,LD upon MUFA,PX upon MUFA,Longevity,Longevity upon MUFAs
acs.13,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
acs.17,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
acs.4,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
acs.5,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
ads.1,Ether_lipids,Ether_lipids,Low,Low,No,No
alh.4,Metabolism,Energy_metabolism,nt,nt,nt,nt
ash.2,Metabolism,Fatty_acid_metabolism,High,High,Yes,Yes
atgl.1,Lipid_droplet,Lipid_droplet,nt,nt,Yes,Yes
daf.22,Peroxisome,Peroxisome,nt,nt,No,No
dhs.28,Peroxisome,Peroxisome,nt,nt,No,No
ech..1,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
F13D12.9,Metabolism,Energy_metabolism,nt,nt,nt,nt
faah.4,Metabolism,Fatty_acid_metabolism,nt,nt,nt,nt
fard.1,Ether_lipids,Ether_lipids,Low,Low,No,No
fat.2,Metabolism,Fatty_acid_metabolism,High,nt,Yes,Yes
gpx.1,ROS,ROS,Normal,nt,No,both
hosl.1,Lipid_droplet,Lipid_droplet,nt,nt,Yes,nt
lpin.1,Metabolism,Lipid_synthesis,Low,nt,No,No
nhr.49.RNAi,Transcription_factor,Transcription_factor,Low,Low,No,Yes
nhr.64.RNAi,Transcription_factor,Transcription_factor,nt,nt,nt,nt
plin.1,Lipid_droplet,Lipid_droplet,nt,nt,nt,nt
pmp.4,Contact,Contact,nt,nt,No,Yes
prx.11,Peroxisome,Peroxisome,nt,nt,nt,nt
prx.19,Peroxisome,Peroxisome,nt,nt,No,No
prx.5,Peroxisome,Peroxisome,nt,Low,No,No
rab.7,Contact,Lipid_droplet_contact,Low,High,No,No
sbp.1.RNAi,Transcription_factor,Transcription_factor,Low,Low,No,No
seip.1,Lipid_droplet,Lipid_droplet,Low,nt,No,No
sod.1,ROS,ROS,nt,nt,No,Yes
spas.1,Contact,Contact,High,nt,No,Yes
spl.1,Metabolism,Lipid_degradation,nt,nt,nt,nt
syx.5,Contact,Contact,nt,nt,nt,nt
T25G3.4,Metabolism,Energy_metabolism,nt,nt,nt,nt
tkt1,Metabolism,Energy_metabolism,nt,nt,nt,nt
vps13d.RNAi,Lipid_transport,Lipid_transport,High,Low,No,Yes
cgi.58,Lipid_droplet,Lipid_droplet,nt,nt,nt,nt
ctl.3,ROS,ROS,nt,nt,No,Yes
dhs.19,Metabolism,Energy_metabolism,nt,nt,nt,nt
dhs.9,Metabolism,Energy_metabolism,nt,nt,nt,nt
F46H5.3,Metabolism,Energy_metabolism,nt,nt,nt,nt
fat.7,Metabolism,Fatty_acid_metabolism,nt,nt,No,No
hlh.11.RNAi,Transcription_factor,Transcription_factor,nt,nt,nt,nt
maoc.1,Peroxisome,Peroxisome,nt,nt,nt,nt
Y44A6D.3.RNAi,Transcription_factor,Transcription_factor,nt,nt,nt,nt